Actions #,Coût par action (en euros),Bénéfice (après 2 ans)
Action-7014,146,35
Action-7015,373,3
Action-7016,184,8
Action-7017,350,38
Action-7018,82,18
Action-7019,22,11
Action-7020,265,21
Action-7021,491,18
Action-7022,291,37
Action-7023,492,46
Action-7024,53,39
Action-7025,341,28
Action-7026,461,45
Action-7027,457,21
Action-7028,340,12
Action-7029,215,25
Action-7030,279,29
Action-7031,381,36
Action-7032,390,7
Action-7033,258,25
Action-7034,336,23
Action-7035,333,5
Action-7036,214,49
Action-7037,137,28
Action-7038,76,30
Action-7039,123,5
Action-7040,269,10
Action-7041,326,10
Action-7042,343,13
Action-7043,291,26
Action-7044,402,34
Action-7045,156,30
Action-7046,30,24
Action-7047,357,40
Action-7048,174,32
Action-7049,7,13
Action-7050,368,35
Action-7051,115,46
Action-7052,104,32
Action-7053,464,49
Action-7054,289,47
Action-7055,168,40
Action-7056,409,2
Action-7057,331,31
Action-7058,495,29
Action-7059,449,1
Action-7060,224,7
Action-7061,101,7
Action-7062,176,23
Action-7063,129,35
Action-7064,142,6
Action-7065,290,20
Action-7066,157,1
Action-7067,371,3
Action-7068,207,45
Action-7069,314,19
Action-7070,6,16
Action-7071,432,1
Action-7072,218,14
Action-7073,211,5
Action-7074,141,41
Action-7075,457,22
Action-7076,482,16
Action-7077,33,12
Action-7078,363,7
Action-7079,244,43
Action-7080,316,13
Action-7081,435,6
Action-7082,228,13
Action-7083,328,43
Action-7084,286,22
Action-7085,375,37
Action-7086,27,18
Action-7087,214,28
Action-7088,430,16
Action-7089,75,40
Action-7090,488,9
Action-7091,320,19
Action-7092,282,40
Action-7093,124,35
Action-7094,453,44
Action-7095,252,3
Action-7096,236,29
Action-7097,215,41
Action-7098,60,49
Action-7099,447,40
Action-7100,495,23
Action-7101,496,38
Action-7102,201,46
Action-7103,216,31
Action-7104,386,9
Action-7105,150,10
Action-7106,44,1
Action-7107,37,44
Action-7108,159,37
Action-7109,123,34
Action-7110,113,13
Action-7111,166,4
Action-7112,171,34
Action-7113,40,38
Action-7114,399,3
Action-7115,454,2
Action-7116,256,46
Action-7117,321,20
Action-7118,49,26
Action-7119,313,43
Action-7120,83,45
Action-7121,184,34
Action-7122,147,17
Action-7123,35,46
Action-7124,307,32
Action-7125,390,30
Action-7126,213,18
Action-7127,427,37
Action-7128,116,43
Action-7129,281,4
Action-7130,376,40
Action-7131,195,41
Action-7132,108,24
Action-7133,39,16
Action-7134,429,28
Action-7135,59,24
Action-7136,54,8
Action-7137,213,49
Action-7138,416,25
Action-7139,284,48
Action-7140,113,7
Action-7141,396,44
Action-7142,71,21
Action-7143,302,47
Action-7144,25,9
Action-7145,60,36
Action-7146,41,41
Action-7147,424,28
Action-7148,57,31
Action-7149,248,0
Action-7150,285,4
Action-7151,138,46
Action-7152,58,17
Action-7153,44,14
Action-7154,434,12
Action-7155,110,25
Action-7156,191,35
Action-7157,223,26
Action-7158,271,3
Action-7159,292,23
Action-7160,406,48
Action-7161,478,41
Action-7162,485,45
Action-7163,287,31
Action-7164,140,35
Action-7165,410,47
Action-7166,474,40
Action-7167,0,44
Action-7168,160,37
Action-7169,39,48
Action-7170,129,34
Action-7171,271,37
Action-7172,494,42
Action-7173,397,47
Action-7174,257,21
Action-7175,344,6
Action-7176,269,28
Action-7177,454,18
Action-7178,199,36
Action-7179,474,26
Action-7180,6,48
Action-7181,418,26
Action-7182,322,21
Action-7183,83,45
Action-7184,307,2
Action-7185,270,33
Action-7186,456,23
Action-7187,438,5
Action-7188,127,9
Action-7189,215,23
Action-7190,241,19
Action-7191,66,43
Action-7192,351,12
Action-7193,78,9
Action-7194,418,11
Action-7195,219,40
Action-7196,412,21
Action-7197,25,40
Action-7198,51,24
Action-7199,204,0
Action-7200,395,23
Action-7201,295,33
Action-7202,35,40
Action-7203,410,31
Action-7204,101,25
Action-7205,120,4
Action-7206,8,25
Action-7207,349,39
Action-7208,111,31
Action-7209,170,3
Action-7210,74,24
Action-7211,8,40
Action-7212,183,15
Action-7213,74,9
Action-7214,436,46
Action-7215,188,28
Action-7216,3,34
Action-7217,141,31
Action-7218,440,44
Action-7219,63,39
Action-7220,215,3
Action-7221,59,6
Action-7222,385,5
Action-7223,436,30
Action-7224,83,11
Action-7225,311,47
Action-7226,118,30
Action-7227,170,27
Action-7228,324,1
Action-7229,239,20
Action-7230,339,7
Action-7231,356,38
Action-7232,203,29
Action-7233,324,12
Action-7234,481,45
Action-7235,4,20
Action-7236,30,21
Action-7237,134,6
Action-7238,125,36
Action-7239,448,33
Action-7240,252,2
Action-7241,98,32
Action-7242,447,26
Action-7243,175,14
Action-7244,431,31
Action-7245,199,37
Action-7246,472,12
Action-7247,75,13
Action-7248,257,14
Action-7249,109,25
Action-7250,171,28
Action-7251,133,10
Action-7252,281,11
Action-7253,494,17
Action-7254,245,1
Action-7255,396,0
Action-7256,245,10
Action-7257,362,24
Action-7258,453,40
Action-7259,207,10
Action-7260,23,28
Action-7261,349,8
Action-7262,223,3
Action-7263,401,0
Action-7264,90,27
Action-7265,87,12
Action-7266,213,40
Action-7267,269,23
Action-7268,109,36
Action-7269,384,48
Action-7270,408,15
Action-7271,39,8
Action-7272,222,23
Action-7273,380,0
Action-7274,11,8
Action-7275,224,7
Action-7276,390,6
Action-7277,470,28
Action-7278,452,8
Action-7279,51,18
Action-7280,415,29
Action-7281,499,27
Action-7282,474,5
Action-7283,158,27
Action-7284,87,19
Action-7285,195,10
Action-7286,233,44
Action-7287,429,7
Action-7288,178,27
Action-7289,112,42
Action-7290,430,22
Action-7291,326,18
Action-7292,349,22
Action-7293,225,32
Action-7294,427,19
Action-7295,285,38
Action-7296,397,9
Action-7297,172,10
Action-7298,174,44
Action-7299,69,4
Action-7300,124,41
Action-7301,401,1
Action-7302,0,1
Action-7303,282,47
Action-7304,367,47
Action-7305,118,16
Action-7306,184,45
Action-7307,14,15
Action-7308,145,15
Action-7309,89,24
Action-7310,274,34
Action-7311,487,7
Action-7312,66,47
Action-7313,322,48
Action-7314,413,44
Action-7315,67,33
Action-7316,490,2
Action-7317,305,43
Action-7318,302,12
Action-7319,43,18
Action-7320,85,6
Action-7321,316,17
Action-7322,210,38
Action-7323,60,34
Action-7324,287,18
Action-7325,453,35
Action-7326,116,18
Action-7327,459,18
Action-7328,292,48
Action-7329,288,19
Action-7330,433,39
Action-7331,158,34
Action-7332,129,26
Action-7333,192,2
Action-7334,131,40
Action-7335,278,29
Action-7336,177,38
Action-7337,201,5
Action-7338,166,33
Action-7339,297,3
Action-7340,19,47
Action-7341,60,28
Action-7342,254,31
Action-7343,89,21
Action-7344,25,21
Action-7345,434,21
Action-7346,124,40
Action-7347,495,41
Action-7348,334,42
Action-7349,393,33
Action-7350,363,2
Action-7351,45,4
Action-7352,112,20
Action-7353,148,43
Action-7354,269,19
Action-7355,235,26
Action-7356,455,23
Action-7357,426,16
Action-7358,231,4
Action-7359,321,18
Action-7360,384,43
Action-7361,453,38
Action-7362,26,34
Action-7363,438,39
Action-7364,386,28
Action-7365,260,34
Action-7366,3,5
Action-7367,228,38
Action-7368,75,31
Action-7369,363,34
Action-7370,387,10
Action-7371,268,29
Action-7372,457,19
Action-7373,174,45
Action-7374,328,40
Action-7375,33,19
Action-7376,150,10
Action-7377,135,19
Action-7378,80,8
Action-7379,109,33
Action-7380,426,31
Action-7381,375,19
Action-7382,387,17
Action-7383,213,44
Action-7384,349,15
Action-7385,182,42
Action-7386,248,7
Action-7387,359,25
Action-7388,307,43
Action-7389,50,38
Action-7390,4,20
Action-7391,47,12
Action-7392,166,6
Action-7393,405,9
Action-7394,385,5
Action-7395,167,31
Action-7396,123,25
Action-7397,197,15
Action-7398,121,19
Action-7399,279,8
Action-7400,338,40
Action-7401,269,43
Action-7402,374,16
Action-7403,341,49
Action-7404,49,35
Action-7405,253,16
Action-7406,193,16
Action-7407,255,5
Action-7408,279,21
Action-7409,447,15
Action-7410,133,43
Action-7411,372,38
Action-7412,320,45
Action-7413,106,38
Action-7414,281,48
Action-7415,380,8
Action-7416,86,45
Action-7417,254,27
Action-7418,21,2
Action-7419,15,20
Action-7420,336,26
Action-7421,470,27
Action-7422,238,48
Action-7423,82,36
Action-7424,81,2
Action-7425,356,12
Action-7426,122,43
Action-7427,15,20
Action-7428,30,34
Action-7429,218,24
Action-7430,0,38
Action-7431,445,4
Action-7432,422,47
Action-7433,244,40
Action-7434,50,1
Action-7435,45,41
Action-7436,119,41
Action-7437,300,43
Action-7438,2,43
Action-7439,233,21
Action-7440,431,19
Action-7441,200,28
Action-7442,337,11
Action-7443,398,17
Action-7444,345,35
Action-7445,246,21
Action-7446,350,5
Action-7447,295,38
Action-7448,267,0
Action-7449,232,30
Action-7450,261,6
Action-7451,496,10
Action-7452,298,22
Action-7453,440,20
Action-7454,108,39
Action-7455,55,46
Action-7456,409,42
Action-7457,198,15
Action-7458,49,35
Action-7459,219,43
Action-7460,329,32
Action-7461,61,31
Action-7462,265,6
Action-7463,154,47
Action-7464,21,12
Action-7465,220,32
Action-7466,183,46
Action-7467,133,5
Action-7468,441,32
Action-7469,436,1
Action-7470,413,25
Action-7471,451,13
Action-7472,405,40
Action-7473,119,37
Action-7474,431,34
Action-7475,44,34
Action-7476,354,28
Action-7477,404,34
Action-7478,72,48
Action-7479,4,29
Action-7480,277,36
Action-7481,348,33
Action-7482,214,22
Action-7483,218,29
Action-7484,164,39
Action-7485,436,21
Action-7486,364,31
Action-7487,7,32
Action-7488,398,34
Action-7489,130,39
Action-7490,78,24
Action-7491,4,19
Action-7492,342,0
Action-7493,113,14
Action-7494,152,11
Action-7495,192,20
Action-7496,191,13
Action-7497,394,17
Action-7498,268,49
Action-7499,392,4
Action-7500,64,44
Action-7501,449,49
Action-7502,418,43
Action-7503,109,33
Action-7504,334,42
Action-7505,242,9
Action-7506,166,16
Action-7507,0,35
Action-7508,445,10
Action-7509,169,9
Action-7510,73,3
Action-7511,463,13
Action-7512,429,40
Action-7513,48,49
Action-7514,350,38
Action-7515,298,27
Action-7516,97,6
Action-7517,164,12
Action-7518,12,48
Action-7519,257,22
Action-7520,475,9
Action-7521,46,17
Action-7522,459,40
Action-7523,43,32
Action-7524,191,27
Action-7525,38,21
Action-7526,409,5
Action-7527,434,14
Action-7528,409,8
Action-7529,383,34
Action-7530,393,44
Action-7531,371,12
Action-7532,50,47
Action-7533,135,29
Action-7534,360,9
Action-7535,327,22
Action-7536,11,3
Action-7537,16,24
Action-7538,27,13
Action-7539,280,14
Action-7540,377,6
Action-7541,455,4
Action-7542,26,9
Action-7543,215,36
Action-7544,352,2
Action-7545,163,21
Action-7546,398,1
Action-7547,94,9
Action-7548,147,15
Action-7549,158,19
Action-7550,354,13
Action-7551,227,3
Action-7552,106,29
Action-7553,51,11
Action-7554,7,1
Action-7555,432,42
Action-7556,424,30
Action-7557,286,3
Action-7558,353,27
Action-7559,358,33
Action-7560,396,40
Action-7561,194,18
Action-7562,438,1
Action-7563,300,15
Action-7564,199,13
Action-7565,53,3
Action-7566,447,13
Action-7567,149,36
Action-7568,312,31
Action-7569,282,2
Action-7570,281,39
Action-7571,327,25
Action-7572,232,25
Action-7573,333,16
Action-7574,354,34
Action-7575,50,23
Action-7576,121,27
Action-7577,364,24
Action-7578,334,22
Action-7579,199,47
Action-7580,318,12
Action-7581,317,8
Action-7582,221,18
Action-7583,58,49
Action-7584,83,21
Action-7585,311,38
Action-7586,408,17
Action-7587,497,11
Action-7588,325,30
Action-7589,223,0
Action-7590,74,32
Action-7591,38,17
Action-7592,438,18
Action-7593,167,16
Action-7594,338,6
Action-7595,19,33
Action-7596,331,48
Action-7597,480,19
Action-7598,437,39
Action-7599,246,7
Action-7600,98,34
Action-7601,80,18
Action-7602,131,41
Action-7603,79,24
Action-7604,15,7
Action-7605,1,41
Action-7606,275,10
Action-7607,253,23
Action-7608,150,1
Action-7609,219,31
Action-7610,49,3
Action-7611,176,18
Action-7612,481,32
Action-7613,280,11
Action-7614,351,47
Action-7615,263,1
Action-7616,328,39
Action-7617,71,27
Action-7618,344,13
Action-7619,29,3
Action-7620,139,20
Action-7621,325,28
Action-7622,212,14
Action-7623,251,6
Action-7624,163,0
Action-7625,36,11
Action-7626,309,11
Action-7627,77,47
Action-7628,145,5
Action-7629,358,48
Action-7630,337,19
Action-7631,335,11
Action-7632,28,42
Action-7633,364,7
Action-7634,166,33
Action-7635,362,6
Action-7636,323,23
Action-7637,193,4
Action-7638,330,31
Action-7639,431,11
Action-7640,331,37
Action-7641,27,44
Action-7642,231,35
Action-7643,395,34
Action-7644,150,22
Action-7645,77,14
Action-7646,453,17
Action-7647,98,26
Action-7648,347,4
Action-7649,498,38
Action-7650,39,21
Action-7651,383,4
Action-7652,53,6
Action-7653,269,12
Action-7654,251,12
Action-7655,104,24
Action-7656,215,22
Action-7657,11,35
Action-7658,377,15
Action-7659,220,25
Action-7660,229,43
Action-7661,439,16
Action-7662,190,42
Action-7663,41,42
Action-7664,66,1
Action-7665,195,35
Action-7666,197,44
Action-7667,160,29
Action-7668,484,21
Action-7669,35,30
Action-7670,365,41
Action-7671,410,29
Action-7672,327,3
Action-7673,97,40
Action-7674,172,36
Action-7675,495,14
Action-7676,241,22
Action-7677,80,42
Action-7678,430,39
Action-7679,171,27
Action-7680,36,46
Action-7681,256,35
Action-7682,486,20
Action-7683,189,19
Action-7684,347,3
Action-7685,186,14
Action-7686,236,43
Action-7687,0,23
Action-7688,227,49
Action-7689,321,29
Action-7690,169,3
Action-7691,64,5
Action-7692,90,36
Action-7693,100,49
Action-7694,24,40
Action-7695,169,20
Action-7696,13,36
Action-7697,312,35
Action-7698,183,35
Action-7699,480,23
Action-7700,467,22
Action-7701,300,5
Action-7702,468,34
Action-7703,440,31
Action-7704,6,40
Action-7705,205,24
Action-7706,424,10
Action-7707,89,14
Action-7708,60,40
Action-7709,65,46
Action-7710,252,13
Action-7711,492,22
Action-7712,439,41
Action-7713,404,42
Action-7714,116,3
Action-7715,163,9
Action-7716,312,0
Action-7717,15,47
Action-7718,158,39
Action-7719,38,14
Action-7720,181,35
Action-7721,65,0
Action-7722,439,25
Action-7723,221,48
Action-7724,304,48
Action-7725,396,31
Action-7726,287,45
Action-7727,405,44
Action-7728,331,4
Action-7729,439,28
Action-7730,59,24
Action-7731,422,35
Action-7732,260,7
Action-7733,398,17
Action-7734,121,13
Action-7735,0,18
Action-7736,47,2
Action-7737,456,7
Action-7738,388,36
Action-7739,166,5
Action-7740,181,36
Action-7741,241,18
Action-7742,327,48
Action-7743,275,45
Action-7744,239,21
Action-7745,213,23
Action-7746,418,12
Action-7747,334,49
Action-7748,321,2
Action-7749,169,20
Action-7750,291,14
Action-7751,78,13
Action-7752,360,20
Action-7753,0,12
Action-7754,21,7
Action-7755,185,40
Action-7756,331,23
Action-7757,243,2
Action-7758,270,3
Action-7759,176,39
Action-7760,428,48
Action-7761,216,43
Action-7762,252,6
Action-7763,65,22
Action-7764,350,41
Action-7765,45,6
Action-7766,258,23
Action-7767,291,10
Action-7768,150,7
Action-7769,314,9
Action-7770,358,33
Action-7771,421,24
Action-7772,60,43
Action-7773,214,7
Action-7774,411,13
Action-7775,213,41
Action-7776,294,0
Action-7777,334,24
Action-7778,84,6
Action-7779,37,39
Action-7780,106,18
Action-7781,409,10
Action-7782,14,0
Action-7783,108,33
Action-7784,78,6
Action-7785,25,5
Action-7786,95,9
Action-7787,290,12
Action-7788,65,26
Action-7789,158,0
Action-7790,329,20
Action-7791,198,31
Action-7792,87,0
Action-7793,381,6
Action-7794,111,14
Action-7795,342,37
Action-7796,371,25
Action-7797,140,26
Action-7798,475,25
Action-7799,273,2
Action-7800,385,6
Action-7801,327,1
Action-7802,148,20
Action-7803,163,14
Action-7804,495,5
Action-7805,105,38
Action-7806,347,47
Action-7807,270,25
Action-7808,171,23
Action-7809,433,39
Action-7810,96,29
Action-7811,300,10
Action-7812,480,39
Action-7813,315,29
Action-7814,66,11
Action-7815,489,27
Action-7816,46,6
Action-7817,297,0
Action-7818,1,10
Action-7819,292,27
Action-7820,395,20
Action-7821,303,33
Action-7822,349,46
Action-7823,129,12
Action-7824,128,47
Action-7825,465,38
Action-7826,79,24
Action-7827,105,34
Action-7828,409,7
Action-7829,336,21
Action-7830,421,35
Action-7831,333,33
Action-7832,268,11
Action-7833,399,47
Action-7834,381,27
Action-7835,422,48
Action-7836,294,26
Action-7837,66,40
Action-7838,455,30
Action-7839,179,2
Action-7840,56,49
Action-7841,197,13
Action-7842,297,8
Action-7843,68,26
Action-7844,243,38
Action-7845,89,45
Action-7846,105,37
Action-7847,124,18
Action-7848,130,33
Action-7849,176,35
Action-7850,474,22
Action-7851,323,19
Action-7852,269,7
Action-7853,405,2
Action-7854,207,8
Action-7855,419,18
Action-7856,124,30
Action-7857,472,30
Action-7858,104,5
Action-7859,51,31
Action-7860,240,40
Action-7861,82,1
Action-7862,389,5
Action-7863,147,12
Action-7864,111,45
Action-7865,396,17
Action-7866,236,2
Action-7867,326,21
Action-7868,259,37
Action-7869,169,24
Action-7870,279,29
Action-7871,100,9
Action-7872,305,34
Action-7873,447,37
Action-7874,449,5
Action-7875,371,15
Action-7876,454,37
Action-7877,229,36
Action-7878,30,8
Action-7879,238,27
Action-7880,337,25
Action-7881,189,33
Action-7882,222,15
Action-7883,496,37
Action-7884,167,47
Action-7885,32,13
Action-7886,73,25
Action-7887,199,0
Action-7888,223,8
Action-7889,405,22
Action-7890,16,28
Action-7891,172,8
Action-7892,433,32
Action-7893,21,18
Action-7894,135,10
Action-7895,213,20
Action-7896,133,41
Action-7897,491,48
Action-7898,495,28
Action-7899,427,23
Action-7900,118,7
Action-7901,81,15
Action-7902,197,28
Action-7903,430,12
Action-7904,387,39
Action-7905,344,6
Action-7906,141,46
Action-7907,434,18
Action-7908,44,41
Action-7909,44,15
Action-7910,363,5
Action-7911,427,31
Action-7912,475,26
Action-7913,160,9
Action-7914,179,27
Action-7915,330,41
Action-7916,287,41
Action-7917,149,30
Action-7918,129,14
Action-7919,353,9
Action-7920,375,37
Action-7921,241,37
Action-7922,31,11
Action-7923,194,8
Action-7924,464,9
Action-7925,198,40
Action-7926,390,34
Action-7927,197,6
Action-7928,208,10
Action-7929,421,7
Action-7930,451,15
Action-7931,39,13
Action-7932,399,13
Action-7933,96,46
Action-7934,326,2
Action-7935,456,36
Action-7936,234,42
Action-7937,199,47
Action-7938,241,17
Action-7939,322,42
Action-7940,86,16
Action-7941,294,0
Action-7942,205,15
Action-7943,150,34
Action-7944,473,22
Action-7945,324,15
Action-7946,489,0
Action-7947,27,42
Action-7948,180,19
Action-7949,234,7
Action-7950,248,44
Action-7951,205,39
Action-7952,385,26
Action-7953,482,44
Action-7954,450,44
Action-7955,394,45
Action-7956,14,41
Action-7957,286,17
Action-7958,440,32
Action-7959,132,5
Action-7960,455,24
Action-7961,89,44
Action-7962,22,24
Action-7963,340,23
Action-7964,119,11
Action-7965,112,19
Action-7966,321,39
Action-7967,229,36
Action-7968,170,43
Action-7969,188,5
Action-7970,479,22
Action-7971,492,3
Action-7972,370,20
Action-7973,396,17
Action-7974,185,48
Action-7975,484,45
Action-7976,267,36
Action-7977,345,35
Action-7978,435,10
Action-7979,450,15
Action-7980,247,30
Action-7981,179,26
Action-7982,247,19
Action-7983,163,28
Action-7984,353,15
Action-7985,176,19
Action-7986,322,21
Action-7987,370,45
Action-7988,492,6
Action-7989,341,30
Action-7990,357,48
Action-7991,422,13
Action-7992,285,39
Action-7993,237,13
Action-7994,195,5
Action-7995,97,15
Action-7996,477,4
Action-7997,12,6
Action-7998,275,37
Action-7999,151,2
Action-8000,91,8
Action-8001,290,41
Action-8002,198,0
Action-8003,424,23
Action-8004,99,1
Action-8005,363,10
Action-8006,203,21
Action-8007,243,30
Action-8008,148,30
Action-8009,144,24
Action-8010,234,49
Action-8011,291,39
Action-8012,486,36
Action-8013,113,37
Action-8014,307,15
Action-8015,359,5
Action-8016,398,39
Action-8017,211,6
Action-8018,379,1
Action-8019,170,42
Action-8020,408,14
Action-8021,333,27
Action-8022,449,35
Action-8023,482,31
Action-8024,272,11
Action-8025,484,5
Action-8026,295,38
Action-8027,34,48
Action-8028,61,11
Action-8029,353,47
Action-8030,396,17
Action-8031,78,43
Action-8032,104,3
Action-8033,90,21
Action-8034,387,11
Action-8035,296,13
Action-8036,405,14
Action-8037,190,40
Action-8038,488,46
Action-8039,104,24
Action-8040,420,10
Action-8041,315,14
Action-8042,386,2
Action-8043,220,42
Action-8044,338,45
Action-8045,498,44
Action-8046,193,13
Action-8047,319,32
Action-8048,46,44
Action-8049,104,38
Action-8050,331,18
Action-8051,153,38
Action-8052,237,19
Action-8053,296,37
Action-8054,484,39
Action-8055,173,21
Action-8056,396,21
Action-8057,144,28
Action-8058,90,26
Action-8059,302,30
Action-8060,107,10
Action-8061,132,25
Action-8062,38,34
Action-8063,171,41
Action-8064,430,39
Action-8065,465,48
Action-8066,376,7
Action-8067,184,34
Action-8068,470,21
Action-8069,478,16
Action-8070,71,47
Action-8071,170,6
Action-8072,314,37
Action-8073,253,49
Action-8074,163,31
Action-8075,85,33
Action-8076,498,40
Action-8077,60,17
Action-8078,91,14
Action-8079,389,5
Action-8080,194,37
Action-8081,407,28
Action-8082,451,37
Action-8083,34,34
Action-8084,330,49
Action-8085,105,35
Action-8086,152,20
Action-8087,486,5
Action-8088,384,31
Action-8089,263,44
Action-8090,48,16
Action-8091,341,16
Action-8092,420,7
Action-8093,309,15
Action-8094,174,27
Action-8095,224,34
Action-8096,296,7
Action-8097,385,15
Action-8098,355,33
Action-8099,220,7
Action-8100,80,47
Action-8101,482,9
Action-8102,416,45
Action-8103,384,5
Action-8104,140,12
Action-8105,345,9
Action-8106,434,17
Action-8107,493,20
Action-8108,226,46
Action-8109,303,20
Action-8110,60,45
Action-8111,145,32
Action-8112,379,11
Action-8113,140,23
Action-8114,421,39
Action-8115,52,27
Action-8116,97,33
Action-8117,319,8
Action-8118,276,15
Action-8119,215,46
Action-8120,31,6
Action-8121,374,20
Action-8122,477,12
Action-8123,401,27
Action-8124,132,48
Action-8125,400,8
Action-8126,169,42
Action-8127,241,20
Action-8128,376,19
Action-8129,60,43
Action-8130,362,6
Action-8131,371,36
Action-8132,386,23
Action-8133,260,39
Action-8134,473,5
Action-8135,4,40
Action-8136,274,28
Action-8137,430,24
Action-8138,432,4
Action-8139,27,10
Action-8140,267,35
Action-8141,42,1
Action-8142,120,2
Action-8143,61,18
Action-8144,223,40
Action-8145,24,16
Action-8146,311,26
Action-8147,173,27
Action-8148,135,8
Action-8149,91,44
Action-8150,341,20
Action-8151,401,23
Action-8152,314,45
Action-8153,14,6
Action-8154,85,19
Action-8155,424,48
Action-8156,344,18
Action-8157,156,0
Action-8158,246,13
Action-8159,85,34
Action-8160,327,26
Action-8161,463,36
Action-8162,490,48
Action-8163,105,23
Action-8164,288,10
Action-8165,448,16
Action-8166,239,8
Action-8167,59,5
Action-8168,242,28
Action-8169,68,37
Action-8170,482,3
Action-8171,295,48
Action-8172,233,43
Action-8173,435,31
Action-8174,325,4
Action-8175,243,3
Action-8176,471,0
Action-8177,473,3
Action-8178,383,18
Action-8179,4,10
Action-8180,1,10
Action-8181,405,31
Action-8182,124,10
Action-8183,442,43
Action-8184,311,49
Action-8185,461,40
Action-8186,128,20
Action-8187,188,48
Action-8188,130,21
Action-8189,292,17
Action-8190,449,14
Action-8191,385,23
Action-8192,387,48
Action-8193,432,47
Action-8194,93,44
Action-8195,141,4
Action-8196,117,26
Action-8197,344,13
Action-8198,293,10
Action-8199,362,21
Action-8200,234,39
Action-8201,499,42
Action-8202,24,49
Action-8203,214,47
Action-8204,265,40
Action-8205,133,36
Action-8206,287,17
Action-8207,98,27
Action-8208,216,10
Action-8209,87,37
Action-8210,336,15
Action-8211,365,38
Action-8212,279,0
Action-8213,186,34
Action-8214,111,5
Action-8215,2,8
Action-8216,439,21
Action-8217,265,26
Action-8218,54,1
Action-8219,145,28
Action-8220,283,40
Action-8221,375,22
Action-8222,108,48
Action-8223,323,7
Action-8224,224,0
Action-8225,32,48
Action-8226,86,49
Action-8227,331,17
Action-8228,411,41
Action-8229,416,24
Action-8230,248,11
Action-8231,3,36
Action-8232,422,31
Action-8233,11,15
Action-8234,119,4
Action-8235,480,4
Action-8236,286,32
Action-8237,180,48
Action-8238,450,14
Action-8239,346,36
Action-8240,105,23
Action-8241,285,40
Action-8242,184,8
Action-8243,167,19
Action-8244,170,30
Action-8245,434,26
Action-8246,19,11
Action-8247,198,30
Action-8248,74,29
Action-8249,116,22
Action-8250,228,38
Action-8251,303,47
Action-8252,359,14
Action-8253,166,18
Action-8254,296,12
Action-8255,413,41
Action-8256,77,41
Action-8257,76,46
Action-8258,148,6
Action-8259,28,16
Action-8260,455,7
Action-8261,94,28
Action-8262,71,17
Action-8263,410,29
Action-8264,60,27
Action-8265,222,26
Action-8266,335,26
Action-8267,344,17
Action-8268,197,22
Action-8269,457,26
Action-8270,431,2
Action-8271,83,0
Action-8272,35,0
Action-8273,81,15
Action-8274,237,1
Action-8275,11,9
Action-8276,360,8
Action-8277,186,34
Action-8278,407,8
Action-8279,186,26
Action-8280,357,42
Action-8281,379,34
Action-8282,38,45
Action-8283,411,32
Action-8284,51,45
Action-8285,401,9
Action-8286,226,30
Action-8287,359,31
Action-8288,81,9
Action-8289,427,27
Action-8290,321,22
Action-8291,271,42
Action-8292,451,11
Action-8293,471,41
Action-8294,236,9
Action-8295,345,18
Action-8296,223,20
Action-8297,6,34
Action-8298,193,49
Action-8299,82,39
Action-8300,155,46
Action-8301,318,10
Action-8302,266,45
Action-8303,117,4
Action-8304,454,1
Action-8305,442,32
Action-8306,96,39
Action-8307,410,21
Action-8308,298,16
Action-8309,101,18
Action-8310,119,8
Action-8311,431,42
Action-8312,137,37
Action-8313,479,3
Action-8314,15,16
Action-8315,316,10
Action-8316,103,35
Action-8317,417,45
Action-8318,347,38
Action-8319,282,41
Action-8320,349,10
Action-8321,408,12
Action-8322,313,6
Action-8323,199,19
Action-8324,119,9
Action-8325,102,15
Action-8326,248,32
Action-8327,488,16
Action-8328,413,30
Action-8329,253,6
Action-8330,207,49
Action-8331,51,27
Action-8332,357,26
Action-8333,498,1
Action-8334,86,25
Action-8335,398,37
Action-8336,244,0
Action-8337,93,17
Action-8338,240,4
Action-8339,8,11
Action-8340,486,23
Action-8341,480,27
Action-8342,338,42
Action-8343,363,41
Action-8344,191,41
Action-8345,320,46
Action-8346,460,9
Action-8347,432,12
Action-8348,472,36
Action-8349,296,25
Action-8350,249,29
Action-8351,96,19
Action-8352,429,4
Action-8353,415,6
Action-8354,243,2
Action-8355,314,8
Action-8356,370,34
Action-8357,457,36
Action-8358,479,12
Action-8359,153,4
Action-8360,339,20
Action-8361,263,23
Action-8362,491,19
Action-8363,99,36
Action-8364,472,34
Action-8365,169,49
Action-8366,50,7
Action-8367,179,17
Action-8368,222,14
Action-8369,499,7
Action-8370,382,36
Action-8371,338,4
Action-8372,434,32
Action-8373,486,12
Action-8374,413,4
Action-8375,470,1
Action-8376,280,31
Action-8377,69,24
Action-8378,462,7
Action-8379,258,48
Action-8380,1,16
Action-8381,163,24
Action-8382,130,12
Action-8383,490,5
Action-8384,430,39
Action-8385,433,5
Action-8386,392,6
Action-8387,240,33
Action-8388,282,49
Action-8389,365,22
Action-8390,117,0
Action-8391,374,12
Action-8392,33,8
Action-8393,2,1
Action-8394,476,1
Action-8395,151,30
Action-8396,228,2
Action-8397,242,9
Action-8398,271,20
Action-8399,209,45
Action-8400,284,27
Action-8401,396,9
Action-8402,40,45
Action-8403,496,38
Action-8404,218,19
Action-8405,431,25
Action-8406,155,41
Action-8407,66,14
Action-8408,31,3
Action-8409,314,23
Action-8410,112,7
